Sampling.Unit.Name,Date,Wind,Precipitation,PercentCloudCover,DominantCoverType,TidalConditions,VegetationHeight,DisturbGeneral-Collected,VisibleArea-VisibleArea,PercentCover-PercentFlood,CoverType-SecondaryCoverType,PercentCover-PercentVegetated
ANDALIEN1,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN1,2018-02-03,0,0,10,15,6,1,1,90,10,1,5
ANDALIEN1,2019-02-06,0,0,10,15,6,0,1,100,,,
ANDALIEN1,2020-01-22,1,0,30,16,4,0,1,90,20,1,5
ANDALIEN1,2021-02-09,2,0,0,14,8,0,1,90,10,1,0
ANDALIEN10,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN10,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN10,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN10,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN10,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN11,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN11,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN11,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN11,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN12,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN12,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN12,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN12,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN12,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN2,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN2,2018-02-03,0,0,10,15,6,0,1,90,10,,
ANDALIEN2,2019-02-06,0,0,10,15,6,0,1,100,,,
ANDALIEN2,2020-01-22,1,0,30,16,4,0,1,90,20,1,5
ANDALIEN2,2021-02-09,2,0,0,14,8,0,1,90,10,1,0
ANDALIEN3,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN3,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN3,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN3,2020-01-22,1,0,30,16,3,,1,100,,,
ANDALIEN3,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN4,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN4,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN4,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN4,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN4,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN5,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN5,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN5,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN5,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN5,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN6,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN6,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN6,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN6,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN6,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN7,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN7,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN7,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN7,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN7,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN8,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN8,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN8,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN8,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN8,2021-02-09,2,0,0,16,8,0,1,100,0,,0
ANDALIEN9,2017-01-25,1,0,10,16,4,0,1,90,20,1,5
ANDALIEN9,2018-02-03,0,0,10,16,6,0,1,100,0,,
ANDALIEN9,2019-02-06,0,0,10,16,6,0,1,100,,,
ANDALIEN9,2020-01-22,1,0,30,16,4,,1,100,,,
ANDALIEN9,2021-02-09,2,0,0,16,8,0,1,100,0,,0
CF,2020-07-26,4,1,90,17,8,0,1,90,30,,0
CF,2020-10-12,2,0,70,17,1,0,1,100,70,,
CF,2020-10-16,2,0,100,17,8,0,1,100,50,,0
CF,2021-01-12,2,0,70,17,2,0,0,100,60,,0
CF,2022-02-13,0,0,20,17,2,0,1,80,80,,0
CH0,2022-02-12,2,0,20,14,2,1,0,100,20,,40
CH0,2022-06-30,0,0,80,14,4,1,1,100,50,15,30
CH0,2023-02-10,1,0,40,14,1,1,0,100,75,15,25
CH0,2023-07-06,3,3,100,14,1,0,0,80,95,15,
CHA,2017-02-14,0,0,10,14,3,1,1,100,,15,70
CHA,2018-02-03,0,0,10,14,3,1,1,100,,15,
CHA1,2019-02-07,0,0,5,14,3,1,1,100,10,15,60
CHA1,2020-02-08,3,0,5,14,3,1,1,100,,,70
CHA1,2020-05-25,0,0,10,14,2,2,0,90,30,0,30
CHA1,2020-06-15,2,0,80,14,2,2,0,90,20,,70
CHA1,2020-06-24,1,0,20,14,2,2,0,100,50,,40
CHA1,2020-12-15,3,0,30,14,2,2,1,90,20,,70
CHA1,2021-02-15,2,0,0,14,2,1,1,100,40,,10
CHA1,2021-03-01,4,0,70,14,2,3,0,70,60,,20
CHA1,2021-07-12,2,0,40,14,2,1,,100,30,,50
CHA1,2022-02-12,2,0,20,14,2,2,,100,30,,40
CHA1,2022-06-30,0,0,90,14,2,1,1,100,50,15,40
CHA1,2023-02-10,1,0,50,14,1,1,1,,75,15,15
CHA1,2023-07-06,3,3,100,14,1,1,1,,80,15,5
CHA2,2019-02-07,0,0,5,14,3,1,1,100,10,15,50
CHA2,2020-02-08,3,0,5,14,3,1,1,100,,,60
CHA2,2020-06-15,2,0,80,14,2,2,0,80,10,,50
CHA2,2020-06-24,1,0,30,14,2,2,0,90,50,,30
CHA2,2020-06-25,0,0,10,1,2,1,,90,40,3,30
CHA2,2020-12-15,3,0,30,14,2,2,0,80,20,,50
CHA2,2021-02-15,2,0,0,14,2,1,,100,40,,20
CHA2,2021-03-01,4,0,70,14,2,3,0,100,60,,20
CHA2,2021-07-12,2,0,40,14,2,1,,100,30,,40
CHA2,2022-02-12,2,0,20,14,2,2,,100,30,,40
CHA2,2022-06-30,0,0,90,14,2,1,0,100,30,15,50
CHA2,2023-02-10,0,0,40,14,1,1,0,90,70,15,25
CHA2,2023-07-06,3,3,100,14,1,0,0,100,90,15,
CHA3,2019-02-07,0,0,5,14,3,1,1,100,20,15,60
CHA3,2020-02-08,3,0,0,14,3,1,1,100,15,,75
CHA3,2020-05-25,0,0,10,14,2,1,0,90,50,,20
CHA3,2020-06-15,3,0,80,14,2,2,0,80,10,,60
CHA3,2020-10-24,1,0,20,14,2,1,1,90,60,,20
CHA3,2020-12-15,3,0,20,14,2,1,0,90,20,,50
CHA3,2021-02-15,2,0,0,14,2,1,0,100,40,,20
CHA3,2021-03-01,4,0,70,14,2,2,0,80,80,,0
CHA3,2021-07-12,2,0,30,14,2,1,,100,30,,40
CHA3,2022-02-12,2,0,10,14,1,1,,100,60,,20
CHA3,2022-06-30,0,0,90,14,2,1,1,100,40,15,50
CHA3,2023-02-10,0,0,40,14,1,1,0,100,80,15,10
CHA3,2023-07-06,3,3,100,14,1,0,0,100,95,15,
CHA4,2019-02-07,0,0,5,15,3,1,1,100,20,14,65
CHA4,2020-02-08,3,0,0,14,3,1,1,100,20,,65
CHA4,2020-05-25,0,0,0,14,2,1,1,100,60,,20
CHA4,2020-06-15,3,0,90,14,2,2,0,100,10,,80
CHA4,2020-06-24,1,0,20,14,2,1,1,100,70,,20
CHA4,2020-12-15,3,0,20,14,2,2,0,100,40,,50
CHA4,2021-02-15,2,0,0,14,2,2,0,100,50,,20
CHA4,2021-03-01,4,0,70,14,2,2,0,80,85,,0
CHA4,2021-07-12,2,0,40,14,2,1,,100,40,,30
CHA4,2022-02-12,2,0,60,14,2,1,0,100,20,,40
CHA4,2022-06-30,0,0,90,14,2,1,1,100,30,15,50
CHA4,2023-02-10,1,0,40,14,1,1,0,100,70,15,25
CHA4,2023-07-06,3,3,100,14,1,0,0,100,95,15,
CHA5,2019-02-07,0,0,5,15,3,1,1,100,25,14,50
CHA5,2020-02-08,2,0,0,14,3,1,1,100,10,,90
CHA5,2020-05-25,0,0,0,14,1,1,1,100,40,,20
CHA5,2020-06-15,,,,,,,1,,,,
CHA5,2020-06-24,1,0,30,14,2,1,1,100,80,,10
CHA5,2020-12-15,3,0,10,14,2,2,0,90,40,,40
CHA5,2021-02-15,2,0,0,14,2,2,1,100,40,,20
CHA5,2021-03-01,4,0,70,14,2,0,1,100,90,,0
CHA5,2021-07-12,2,0,40,14,2,1,,100,60,,30
CHA5,2022-02-12,2,0,60,14,2,1,0,100,20,,40
CHA5,2022-06-30,0,0,90,14,2,1,0,100,20,15,50
CHA5,2023-02-10,1,0,40,14,2,1,0,100,60,15,25
CHA5,2023-07-06,2,1,90,14,2,1,0,100,60,15,30
CHA6,2019-02-07,0,0,5,15,3,1,1,100,20,14,40
CHA6,2020-02-08,1,0,0,14,3,1,1,100,2,,98
CHA6,2020-05-25,0,0,0,14,1,1,0,100,40,,30
CHA6,2020-06-15,3,0,90,14,1,2,0,90,30,,50
CHA6,2020-06-24,1,0,30,14,2,1,0,100,70,,10
CHA6,2020-12-15,3,0,10,14,2,2,0,80,30,,40
CHA6,2021-02-15,2,0,0,14,2,2,0,100,40,,30
CHA6,2021-03-01,3,0,70,14,2,0,0,100,90,,0
CHA6,2021-07-12,2,0,40,14,1,1,,100,70,,20
CHA6,2022-02-12,2,0,60,14,2,1,0,100,20,,40
CHA6,2022-06-30,0,0,90,14,2,1,1,100,40,15,30
CHA6,2023-02-10,1,0,40,14,2,1,0,100,55,15,25
CHA6,2023-07-06,1,1,80,14,2,1,0,,55,15,45
CHA7,2019-02-07,0,0,5,15,3,1,1,100,20,14,50
CHA7,2020-02-08,1,0,0,14,3,1,1,100,10,,90
CHA7,2020-05-25,0,0,0,14,1,1,0,90,20,,30
CHA7,2020-06-15,3,0,80,14,1,2,0,80,20,,50
CHA7,2020-06-24,1,0,30,14,1,1,0,90,60,,20
CHA7,2020-12-15,2,0,10,14,2,2,0,80,30,,40
CHA7,2021-02-15,2,0,0,14,2,2,0,90,40,,30
CHA7,2021-03-01,3,0,70,14,2,0,0,100,100,,0
CHA7,2021-07-12,0,2,30,14,2,0,,100,80,,20
CHA7,2022-02-12,4,0,30,14,2,3,0,100,20,,40
CHA7,2022-06-30,1,0,80,14,2,1,0,100,20,15,50
CHA7,2023-02-10,0,0,40,14,2,1,0,90,30,15,60
CHA7,2023-07-06,1,0,70,14,2,1,,80,25,15,45
CHA8,2019-02-07,0,0,5,15,3,1,1,100,20,14,50
CHA8,2020-02-08,1,0,0,14,3,1,1,100,10,,90
CHA8,2020-05-25,0,0,0,14,1,2,1,100,30,,50
CHA8,2020-06-15,3,0,80,14,1,2,0,90,20,,60
CHA8,2020-06-23,1,0,20,14,1,2,0,100,70,,20
CHA8,2020-12-15,2,0,10,14,2,2,1,90,40,,40
CHA8,2021-02-15,2,0,0,14,2,2,0,80,30,3,40
CHA8,2021-03-01,2,0,60,14,2,1,0,100,70,,20
CHA8,2021-07-12,2,0,30,14,2,1,,100,80,,20
CHA8,2022-02-12,4,0,30,14,2,3,0,100,20,,40
CHA8,2022-06-30,1,0,70,14,4,1,1,100,10,16,40
CHA8,2023-02-10,1,0,30,14,2,1,0,80,10,15,70
CHA8,2023-07-06,2,0,70,14,2,1,1,80,35,15,50
CHA9,2019-02-07,0,0,5,15,3,1,1,100,30,14,30
CHA9,2020-02-08,1,0,0,14,3,1,1,100,15,,85
CHA9,2020-05-25,0,0,0,14,1,2,1,100,60,,30
CHA9,2020-06-15,3,0,70,14,1,2,1,90,40,,40
CHA9,2020-06-24,1,0,20,14,1,2,0,100,70,,20
CHA9,2020-12-15,2,0,10,14,1,2,0,80,50,,20
CHA9,2021-02-15,2,0,0,14,2,2,1,100,40,,40
CHA9,2021-03-01,2,0,50,14,2,1,0,100,70,,20
CHA9,2021-07-12,2,0,20,14,2,1,,100,70,,20
CHA9,2022-02-12,4,0,20,14,2,3,0,100,60,,30
CHA9,2022-06-30,1,0,60,14,4,1,1,100,20,15,60
CHA9,2023-02-10,1,0,40,14,2,1,0,70,20,15,50
CHA9,2023-07-06,2,0,60,14,2,2,0,70,15,15,40
CHARCA1,2020-08-31,1,0,10,99,1,0,0,100,70,,0
CHARCA1,2021-02-15,2,0,100,99,2,,0,100,0,,0
CHARCA1,2021-08-28,1,0,0,99,9,0,1,100,0,,0
CHARCA1,2022-02-03,0,0,100,99,6,0,0,100,0,,0
CHARCA1,2022-07-26,0,0,50,99,1,0,1,100,20,,0
CHARCA1,2023-02-13,2,0,100,99,8,1,0,100,0,,80
CHARCA1,2023-07-09,2,0,90,99,8,0,,100,0,,0
CHARCA2,2020-08-31,1,0,10,99,1,0,0,100,90,,0
CHARCA2,2021-02-15,2,0,100,99,2,,0,100,0,,0
CHARCA2,2021-08-28,1,0,0,99,9,0,1,100,0,,0
CHARCA2,2022-02-03,0,0,100,99,6,0,,100,0,,0
CHARCA2,2022-07-26,0,0,80,99,1,0,1,100,70,,0
CHARCA2,2023-02-13,2,0,100,99,8,1,0,100,0,,60
CHARCA2,2023-07-09,2,0,90,99,8,0,0,100,0,,0
COQ14,2022-02-14,1,0,0,16,2,1,0,100,,,5
COQ14,2022-07-09,4,0,100,16,3,1,1,100,30,,5
COQ14,2023-02-15,0,0,,16,1,1,1,80,20,,5
COQ14,2023-07-13,0,0,0,16,1,,1,100,,,
COQ15,2022-02-14,1,0,0,3,2,3,0,80,5,,80
COQ15,2022-07-09,4,0,100,3,3,3,1,80,10,,80
COQ15,2023-02-15,0,0,,1,1,2,1,20,,3,75
COQ15,2023-07-13,0,0,0,1,1,1,1,100,,,70
COQ17,2022-02-14,1,0,0,1,2,1,1,100,90,,10
COQ17,2022-07-09,4,0,80,1,7,4,1,100,90,,10
COQ17,2023-02-15,1,0,,1,1,2,1,20,70,10,15
COQ17,2023-07-13,0,0,0,1,1,4,1,5,90,,5
COQ18,2022-02-14,1,0,0,1,2,,1,100,10,,
COQ18,2022-07-09,4,0,70,16,7,0,1,100,0,,0
COQ18,2023-02-15,6,0,,1,1,1,1,90,10,16,5
COQ18,2023-07-13,0,0,0,16,1,,1,100,,,
COQ19,2022-02-14,1,0,0,16,2,1,1,100,,,15
COQ19,2022-07-09,4,0,80,16,7,1,1,100,0,,10
COQ19,2023-02-15,1,0,,16,1,0,1,85,20,,0
COQ19,2023-07-13,0,0,0,16,1,,1,100,,,
COQ20,2022-02-14,1,0,0,1,2,4,1,50,,,90
COQ20,2022-07-09,4,0,80,1,7,5,1,100,90,,10
COQ20,2023-02-15,1,0,,3,1,2,1,20,0,10,85
COQ20,2023-07-13,0,0,0,1,1,3,1,45,,,55
COQ21,2022-02-14,1,0,0,16,2,1,1,100,,,20
COQ21,2022-07-09,6,0,90,16,7,1,1,100,0,,10
COQ21,2023-02-15,2,0,,16,1,1,1,100,15,,10
COQ21,2023-07-13,0,0,0,16,1,1,1,100,,,5
COQ22,2022-02-14,1,0,0,16,1,1,1,100,,,30
COQ22,2022-07-09,6,0,40,16,7,1,1,100,0,,10
COQ22,2023-02-15,4,0,,16,1,0,1,95,15,,0
COQ22,2023-07-13,0,0,0,16,1,,1,100,,,
COQ25,2022-02-14,1,0,0,1,4,1,1,100,,,5
COQ25,2022-07-09,4,0,80,16,7,1,1,100,10,,10
COQ25,2023-02-15,4,0,,16,1,0,1,95,15,,0
COQ25,2023-07-13,0,0,0,16,1,2,1,100,,,10
COQ26,2022-02-14,1,0,0,16,4,1,1,100,,,5
COQ26,2022-07-09,4,0,80,16,7,1,1,100,10,,10
COQ26,2023-02-15,4,0,,16,1,0,1,95,15,,0
COQ26,2023-07-13,0,0,0,16,1,,1,100,,,
COQ27,2022-02-14,1,0,0,16,4,1,1,100,,,5
COQ27,2022-07-09,3,0,100,16,7,1,1,100,10,,10
COQ27,2023-02-15,4,0,,16,1,0,1,95,15,,0
COQ27,2023-07-13,1,0,0,16,1,,1,100,,,
COQ28,2022-02-14,1,0,0,16,4,1,1,100,,,5
COQ28,2022-07-09,2,0,85,16,7,1,1,100,20,,10
COQ28,2023-02-15,4,0,,16,1,0,1,95,15,,0
COQ28,2023-07-13,1,0,0,16,1,,1,100,,,
COQ29,2022-02-14,1,0,0,16,4,1,,100,,,5
COQ29,2022-07-09,2,0,80,16,7,1,1,100,20,,10
COQ29,2023-02-15,2,0,,16,1,0,1,100,15,,0
COQ29,2023-07-13,1,0,0,16,1,,1,100,,,
COQ32,2022-02-14,1,0,0,1,4,5,1,30,90,,
COQ32,2022-07-09,1,0,80,1,7,3,1,50,35,,65
COQ32,2023-02-15,3,0,,1,1,0,1,100,30,16,0
COQ32,2023-07-13,1,0,0,1,1,,1,10,90,,
COQ36,2022-07-09,2,0,80,17,7,0,1,50,20,,0
COQ36,2023-02-15,3,0,,17,1,0,1,30,60,,0
COQ36,2023-07-13,1,0,0,17,1,,1,100,10,,
HT1,2022-07-22,1,1,80,14,2,0,1,100,60,,0
HT1,2023-02-11,1,0,60,14,1,0,0,1,95,,
HT1,2023-07-11,0,0,70,14,2,1,0,100,35,,15
HT2,2022-07-22,1,1,80,14,2,0,0,100,50,,0
HT2,2023-02-11,1,1,60,14,1,0,0,100,85,,
HT2,2023-07-11,0,0,70,14,2,1,0,100,30,17,20
HT3,2022-07-22,0,1,80,14,2,0,1,100,40,,0
HT3,2023-02-11,1,1,60,14,1,0,0,100,90,,
HT3,2023-07-11,0,0,70,14,2,1,0,90,30,17,20
HT4,2022-07-22,0,1,80,15,2,0,0,100,40,14,0
HT4,2023-02-11,1,1,60,14,1,1,0,100,85,,5
HT4,2023-07-11,0,0,70,14,2,1,0,90,35,17,15
HT5,2022-07-21,1,1,80,14,2,1,0,100,40,15,20
HT5,2023-02-11,2,1,70,14,1,1,0,90,90,,5
HT5,2023-07-11,0,0,80,14,2,1,0,80,40,15,25
HUENTE1,2020-02-15,2,0,0,13,2,1,0,100,48,16,2
HUENTE1,2020-02-15,2,0,0,13,2,1,0,100,48,16,2
HUENTE1,2020-08-31,0,0,100,13,1,1,0,100,50,16,2
HUENTE1,2021-02-15,1,0,90,13,1,1,0,100,50,16,48
HUENTE1,2021-08-28,4,0,10,13,1,1,1,100,50,16,2
HUENTE1,2022-02-03,2,0,10,13,1,1,0,100,50,16,2
HUENTE1,2022-07-26,2,0,0,13,7,1,1,100,5,16,2
HUENTE1,2023-02-13,3,0,0,16,2,1,0,100,10,19,10
HUENTE1,2023-07-09,3,0,70,16,1,0,0,100,5,19,0
HUENTE2,2020-02-15,2,0,0,16,1,0,0,100,50,13,0
HUENTE2,2020-08-31,0,0,100,16,1,0,0,100,50,13,0
HUENTE2,2021-02-15,1,0,90,16,1,,0,100,50,13,0
HUENTE2,2021-08-28,4,0,10,16,1,0,1,100,50,13,0
HUENTE2,2022-02-03,2,0,10,16,1,0,0,100,50,13,0
HUENTE2,2022-07-26,2,0,0,16,7,0,1,100,5,13,0
HUENTE2,2023-02-13,3,0,0,16,2,0,0,100,85,19,0
HUENTE2,2023-08-07,3,0,70,16,1,0,1,100,5,19,0
HUENTE3,2020-02-15,2,0,0,16,1,1,0,100,20,19,10
HUENTE3,2020-08-31,0,0,100,16,1,1,0,100,20,19,10
HUENTE3,2021-02-15,1,0,90,16,1,1,0,100,20,19,10
HUENTE3,2021-08-28,4,0,20,16,2,1,1,100,20,19,10
HUENTE3,2022-02-03,2,0,30,16,1,1,1,100,20,19,10
HUENTE3,2022-07-26,2,0,0,16,7,1,1,100,10,19,10
HUENTE3,2023-02-13,3,0,0,16,2,0,0,100,5,19,0
HUENTE3,2023-07-26,3,0,70,16,1,0,0,100,10,19,0
HUENTE4,2020-02-15,2,0,0,16,1,0,0,100,20,19,0
HUENTE4,2020-08-31,0,0,90,16,1,,0,100,20,19,0
HUENTE4,2021-02-15,1,0,90,16,1,,0,100,20,19,0
HUENTE4,2021-08-28,3,0,20,16,2,0,1,100,20,19,0
HUENTE4,2022-02-03,2,0,50,16,2,0,0,100,20,19,0
HUENTE4,2022-07-26,2,0,0,16,7,0,1,100,10,19,0
HUENTE4,2023-02-13,3,0,0,16,2,0,0,100,10,19,0
HUENTE4,2023-07-09,3,0,70,16,2,0,0,100,10,19,0
HUENTE5,2020-02-15,2,0,0,16,1,0,0,100,5,19,0
HUENTE5,2020-08-31,0,0,90,16,1,,0,100,5,19,0
HUENTE5,2021-02-15,1,0,90,16,1,,0,100,5,19,0
HUENTE5,2021-08-28,3,0,20,16,2,0,1,100,5,19,0
HUENTE5,2022-02-03,2,0,70,16,1,0,0,100,5,19,0
HUENTE5,2022-07-26,2,0,0,16,7,0,1,100,5,19,0
HUENTE5,2023-02-13,3,0,0,16,2,1,0,100,5,19,5
HUENTE5,2023-07-09,3,0,70,16,2,0,0,100,5,13,0
HUENTE6,2020-02-15,2,0,0,16,1,0,0,100,5,19,0
HUENTE6,2020-08-31,0,0,80,16,1,,0,100,5,19,0
HUENTE6,2021-02-15,1,0,90,16,1,,0,100,5,19,
HUENTE6,2021-08-28,3,0,20,16,2,0,1,100,5,19,0
HUENTE6,2022-02-03,2,0,70,16,1,0,0,100,5,19,0
HUENTE6,2022-07-26,2,0,0,16,7,0,1,100,5,19,0
HUENTE6,2023-02-13,3,0,0,16,2,1,1,100,5,19,5
HUENTE6,2023-07-09,3,0,70,13,2,1,0,100,5,16,2
HUENTE7,2020-02-15,2,0,20,16,3,3,0,80,70,,30
HUENTE7,2020-08-31,1,0,100,16,1,3,0,80,80,,20
HUENTE7,2021-02-15,1,0,10,16,3,1,0,80,70,,30
HUENTE7,2021-08-28,3,0,10,16,1,3,1,80,50,,30
HUENTE7,2022-02-03,2,0,0,16,3,1,0,100,10,,30
HUENTE7,2022-07-26,2,0,0,16,8,1,1,80,60,,30
HUENTE7,2023-02-13,3,0,0,1,2,1,0,100,70,,15
HUENTE7,2023-07-09,3,0,80,1,3,1,0,80,90,,10
HUENTE8,2020-02-15,2,0,20,1,3,3,0,80,70,,30
HUENTE8,2020-08-31,0,0,100,1,1,3,0,80,70,,30
HUENTE8,2021-02-15,0,0,90,1,1,,0,80,100,,
HUENTE8,2021-08-28,4,0,10,1,1,3,1,80,50,,30
HUENTE8,2022-02-03,2,0,0,1,3,1,0,80,30,,30
HUENTE8,2022-07-26,2,0,0,1,8,1,1,80,50,,30
HUENTE8,2023-02-13,3,0,0,1,2,1,0,100,80,,15
HUENTE8,2023-07-09,3,0,80,14,3,1,0,80,90,15,10
LLANOS1,2020-08-31,1,0,10,99,1,0,,100,0,,0
LLANOS1,2021-02-15,2,0,0,99,7,,0,100,0,,0
LLANOS1,2021-08-28,1,0,0,99,9,0,1,100,0,,0
LLANOS1,2022-02-03,1,0,100,99,6,0,,100,0,,0
LLANOS1,2022-07-26,0,0,10,99,3,1,1,100,0,,80
LLANOS1,2023-02-13,3,0,95,99,6,1,1,100,0,,95
LLANOS1,2023-07-09,2,0,80,99,2,0,0,100,0,,0
LLANOS2,2020-08-31,1,0,10,99,1,0,,100,0,,0
